question,answer
What is gravity?,Gravity is the force that pulls objects toward the Earth.
Define gravity,Gravity is a force of attraction between masses.
What is Newton's first law?,An object remains at rest or in motion unless acted upon by an external force.
What is Newton's second law?,Force equals mass times acceleration (F = ma).
What is Newton's third law?,For every action, there is an equal and opposite reaction.
What is photosynthesis?,Photosynthesis is the process by which plants make food using sunlight.
Define photosynthesis,It is the process of converting light energy into chemical energy in plants.
What is cell?,A cell is the basic unit of life.
Define cell,The smallest structural and functional unit of an organism.
What is atom?,An atom is the smallest unit of matter.
Define atom,It consists of protons, neutrons, and electrons.
What is molecule?,A molecule is a group of atoms bonded together.
Define molecule,Two or more atoms chemically bonded form a molecule.
What is energy?,Energy is the ability to do work.
Define energy,The capacity to perform work.
What is work in physics?,Work is done when force moves an object.
Define work,Work = Force × Distance.
What is power?,Power is the rate of doing work.
Define power,Power = Work/Time.
What is speed?,Speed is distance traveled per unit time.
Define speed,Speed = Distance/Time.
What is velocity?,Velocity is speed with direction.
Define velocity,It is the rate of change of displacement.
What is acceleration?,Acceleration is change in velocity over time.
Define acceleration,Acceleration = Change in velocity/Time.
What is force?,Force is a push or pull on an object.
Define force,It can change motion or shape.
What is friction?,Friction is a force opposing motion.
Define friction,It resists movement between surfaces.
What is pressure?,Pressure is force per unit area.
Define pressure,Pressure = Force/Area.
What is density?,Density is mass per unit volume.
Define density,Density = Mass/Volume.
What is mass?,Mass is the amount of matter.
Define mass,It measures inertia.
What is weight?,Weight is force due to gravity.
Define weight,Weight = mass × gravity.
What is light?,Light is a form of energy that enables vision.
Define light,It travels in waves.
What is reflection?,Reflection is bouncing of light.
Define reflection,Light returning from a surface.
What is refraction?,Refraction is bending of light.
Define refraction,Occurs when light passes between media.
What is electricity?,Electricity is flow of electric charge.
Define electricity,Movement of electrons.
What is current?,Current is flow of charge.
Define current,Measured in amperes.
What is voltage?,Voltage is electric potential difference.
Define voltage,Measured in volts.
What is resistance?,Resistance opposes current flow.
Define resistance,Measured in ohms.
What is magnetism?,Magnetism is force exerted by magnets.
Define magnetism,It attracts or repels materials.
What is ecosystem?,An ecosystem includes living and non-living things interacting.
Define ecosystem,A biological community with environment.
What is food chain?,It shows energy flow in organisms.
Define food chain,Sequence of eating and being eaten.
What is respiration?,Respiration releases energy from food.
Define respiration,Cellular process of energy production.
What is digestion?,Digestion breaks down food.
Define digestion,Process of converting food into nutrients.
What is reproduction?,Reproduction produces new organisms.
Define reproduction,Process of creating offspring.
What is evaporation?,Evaporation is liquid to gas change.
Define evaporation,Occurs at surface.
What is condensation?,Gas changing to liquid.
Define condensation,Opposite of evaporation.
What is boiling?,Rapid vaporization of liquid.
Define boiling,Occurs at boiling point.
What is melting?,Solid to liquid change.
Define melting,Occurs at melting point.
What is freezing?,Liquid to solid change.
Define freezing,Occurs at freezing point.
What is solution?,A homogeneous mixture.
Define solution,Solute + solvent mixture.
What is solute?,Substance dissolved.
Define solute,Minor component in solution.
What is solvent?,Substance that dissolves.
Define solvent,Major component in solution.
What is acid?,Substance releasing H+ ions.
Define acid,Has sour taste.
What is base?,Substance releasing OH- ions.
Define base,Has bitter taste.
What is salt?,Product of acid-base reaction.
Define salt,Neutral compound.
What is metal?,Good conductor of heat and electricity.
Define metal,Shiny and malleable substance.
What is non-metal?,Poor conductor of electricity.
Define non-metal,Not shiny or malleable.
What is alloy?,Mixture of metals.
Define alloy,Improves properties.
What is carbon?,An element essential for life.
Define carbon,Atomic number 6.
What is oxygen?,Gas needed for respiration.
Define oxygen,Supports combustion.
What is hydrogen?,Lightest element.
Define hydrogen,Used in fuel.
What is nitrogen?,Gas in air.
Define nitrogen,Important for plants.
What is atmosphere?,Layer of gases around Earth.
Define atmosphere,Protects Earth.
What is water cycle?,Continuous water movement.
Define water cycle,Evaporation, condensation, precipitation.
question,answer
What is inertia?,Inertia is the property of an object to resist any change in its state of motion.
Define inertia,Inertia is the resistance of a body to change its motion or rest.
What is momentum?,Momentum is the product of mass and velocity.
Define momentum,Momentum = mass × velocity.
What is kinetic energy?,Kinetic energy is the energy possessed by a moving object.
Define kinetic energy,Kinetic energy = 1/2 × mass × velocity².
What is potential energy?,Potential energy is stored energy due to position or state.
Define potential energy,It depends on height or configuration of the object.
What is law of conservation of energy?,Energy cannot be created or destroyed but can change forms.
Define conservation of energy,Total energy of a system remains constant.
What is wave?,A wave is a disturbance that transfers energy.
Define wave,It travels through a medium or space.
What is frequency?,Frequency is the number of waves per second.
Define frequency,Measured in Hertz (Hz).
What is time period?,Time taken for one complete oscillation.
